user_id,email,page,action,element,status,details,error_message,ip_address,user_agent,id,created_at,updated_at
SYSTEM,,,LIQUIDITY_ALARM,textverified,CRITICAL,Provider textverified liquidity below $10.00.,Current Balance: $2.40. Immediate top-up required for V6.0 stability.,,,18b1c1f6-0335-42d7-a2af-b2ceeeb2c40c,2026-04-18 20:03:36.855376,
SYSTEM,,,LIQUIDITY_ALARM,telnyx,CRITICAL,Provider telnyx liquidity below $10.00.,Current Balance: $0.00. Immediate top-up required for V6.0 stability.,,,2f2990bb-7f00-4535-af6d-6fe561f3194a,2026-04-18 20:03:36.954337,
SYSTEM,,,LIQUIDITY_ALARM,5sim,CRITICAL,Provider 5sim liquidity below $10.00.,Current Balance: $1.27. Immediate top-up required for V6.0 stability.,,,b58a4804-08a3-4202-8bfd-65fe8724c0fc,2026-04-18 20:03:36.963578,
SYSTEM,,,LIQUIDITY_ALARM,pvapins,CRITICAL,Provider pvapins liquidity below $10.00.,Current Balance: $0.00. Immediate top-up required for V6.0 stability.,,,dcbb5127-5e74-4c08-abba-eddc45f2a12b,2026-04-18 20:03:37.05526,
SYSTEM,,,LIQUIDITY_ALARM,textverified,CRITICAL,Provider textverified liquidity below $10.00.,Current Balance: $2.40. Immediate top-up required for V6.0 stability.,,,e9b59cd3-15a7-4ff6-8352-c506b5307897,2026-04-18 20:03:39.559113,
SYSTEM,,,LIQUIDITY_ALARM,telnyx,CRITICAL,Provider telnyx liquidity below $10.00.,Current Balance: $0.00. Immediate top-up required for V6.0 stability.,,,f76eb6fc-8d2f-4f80-8b16-bd2cf90cc410,2026-04-18 20:03:39.563406,
SYSTEM,,,LIQUIDITY_ALARM,5sim,CRITICAL,Provider 5sim liquidity below $10.00.,Current Balance: $1.27. Immediate top-up required for V6.0 stability.,,,9b3ade2b-7f67-43a2-8910-a4169bd0d0e8,2026-04-18 20:03:39.65621,
SYSTEM,,,LIQUIDITY_ALARM,pvapins,CRITICAL,Provider pvapins liquidity below $10.00.,Current Balance: $0.00. Immediate top-up required for V6.0 stability.,,,3a63bc69-3e2f-433a-adb5-72b30e6b84cc,2026-04-18 20:03:39.752458,
SYSTEM,,,LIQUIDITY_ALARM,textverified,CRITICAL,Provider textverified liquidity below $10.00.,Current Balance: $2.40. Immediate top-up required for V6.0 stability.,,,2ecfb0c7-eb95-457b-a088-70f989b658ef,2026-04-18 21:16:50.811499,
SYSTEM,,,LIQUIDITY_ALARM,telnyx,CRITICAL,Provider telnyx liquidity below $10.00.,Current Balance: $0.00. Immediate top-up required for V6.0 stability.,,,be5da80c-48de-475c-8fb1-9a8da765edd1,2026-04-18 21:16:50.907088,
SYSTEM,,,LIQUIDITY_ALARM,5sim,CRITICAL,Provider 5sim liquidity below $10.00.,Current Balance: $1.27. Immediate top-up required for V6.0 stability.,,,8746b7f2-e3a9-4643-8d3f-9ec49adad12c,2026-04-18 21:16:51.010945,
SYSTEM,,,LIQUIDITY_ALARM,pvapins,CRITICAL,Provider pvapins liquidity below $10.00.,Current Balance: $0.00. Immediate top-up required for V6.0 stability.,,,9e46641c-97a1-4f64-97b1-cbc748a2bc0a,2026-04-18 21:16:51.015373,
